,sku,name,brewery,rating,category,sub_category_1,sub_category_2,sub_category_3,description,region,country,abv,ibu,calories_per_serving_12oz,carbs_per_serving_12oz,tasting_notes,food_pairing,suggested_glassware,serving_temp_f,serving_temp_c,beer_type,features,sub_category_2_original,sub_category_3_original,brewery_original
231,100232,Fruh Kolsch,3527,5.0,Beer,Ale,13,0,Pale lemony gold in colour with a pure white lasting head the aroma is lightly fruity with some flowery hops.,Cologne,Germany,4.8,25.0,,,,"Suggested food pairings for Fruh Kolsch: Seafood, Chicken, Salad",Stange,40-45° F,4.4-7.2° C,Craft,,Golden / Blonde Ale,,Fruh
249,100250,La Chouffe Golden Ale,1403,4.9,Beer,Ale,3,9,"Golden Ale, strong, spicy, lightly hoppy, with evolving taste. Natural beer, bottle conditioned, unfiltered, not pasteurised and without any additives",Achouffe,Belgium,8.0,20.0,,,"Strong, Stone Fruit, Honey, Intense","Mussels, Charcuterie, Spicy Thai Curry",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Brasserie D'achouffe
251,100252,Boon Oude Geuze Mariage Parfait,1668,4.879000000000001,Beer,Ale,3,0,"Boon Geuze Mariage Parfait has an alcohol content of 8%. It consists of 95% mild lambic, aged at least three years and specially reserved for this purpose, and 5% young lambic. The latter provides the fermentable sugars and wild yeasts. After mixing in a vessel of 25,000 litres, the wort (unfermented mixture) is filtered and chilled. If we are bottling, we bring it back to fermentation temperature. The bottles are placed in a climate-controlled space for the secondary fermentation. This is followed by maturing at low temperature for at least 6 months. Want to know the bottling date? Simply subtract 20 years from the “best before” date!",Lembeek,Belgium,8.0,9.0,,,,"Seafood, Charcuterie, Fruit",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,Belgian-Style Ale,,Brouwerij Boon
252,100253,Delirium Noel,1690,4.746000000000004,Beer,Ale,3,9,"Brewed specifically for the Holiday season and is released once a year. Delirium Noel is fun and festive; the iconic Delirium ceramic motif bottle gets an artistic tweak—three unique labels depicting Delirium's Pink Elephant in fun wintery scenes. The finely crafted Belgian Ale within is well worth the wait. A more substantial ABV% combines with familiar holiday flavors of cinnamon, clove, allspice, and stonefruit. The liquid pours to reveal a chestnut amber hue protected by a fine white creamy head of foam. Noel's precise hop bill provides bitterness to balance big roasted malt flavors. Noel is a great addition to any Holiday celebration and makes a beautiful gift for any occasion the winter months throw your way.",Melle,Belgium,10.0,26.0,,,"Caramel, Cinnamon, Hoppy, Malty","Roast duck, Stilton cheese, Dark chocolate.",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Brouwerij Huyghe
273,100274,Gavroche French Red Ale,3601,4.834000000000001,Beer,Ale,3,12,"Gavroche was a generous and rebellious Paris urchin and a character in the Victor Hugo (1802-1885) novel Les Misérables. It is also a strong, amber beer, where the flavour of its top-fermentation yeast combines perfectly with the taste of the special malts. Fermented again in the bottle, the Gavroche beer should be served with care between 10 and 12°C.",Paris,France,8.5,29.0,,,,"Beef, Duck, Cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Biere de Garde,Gavroche
282,100283,Robinsons & Iron Maiden Trooper Hallowed Ale,4506,4.541999999999999,Beer,Ale,3,0,A hybrid beer inspired by Belgium and brewed in England. The Belgian style yeast combines with Noble hops to deliver a complete palate of subtle banana with a plum finish.,Stockport,United Kingdom,6.0,40.0,,,,"Spicy chicken wings, BBQ ribs, Chocolate desserts",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,,Iron Maiden
285,100286,Leffe Blonde,4990,4.8,Beer,Ale,3,0,"Leffe Brown is an authentic abbey beer. Both its deep, dark brown color and its full, slightly sweet flavor can be ascribed to the use of darkly roasted malt, making every sip just as exceptional as the last.

A Belgian dubbel-style ale crafted since 1240. Leffe Brown Alet pairs well with spicy, caramelized or sweet and sour dishes, as well as cheese.",Dinant,Belgium,6.6,20.0,,,"Sweet, Honey, Stone Fruit, Spicy","Chicken, Salad, Cheese",Pint Glass,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,,Leffe
286,100287,Leffe Brown Ale,4990,4.6,Beer,Ale,7,0,"Leffe Brown is an authentic abbey beer. Both its deep, dark brown colour and its full, slightly sweet flavour can be ascribed to the use of darkly roasted malt, making every sip just as exceptional as the last.",Dinant,Belgium,6.5,20.0,,,"Dark Fruit, Rich, Sweet, Caramel","Steak, Roasted Chicken, Dark Chocolate","Pint Glass, Stein/Pub Mug",45-50° F,7.2-10.0° C,,,Brown Ale,,Leffe
300,100301,Pauwel Kwak Belgian Ale,6409,5.0,Beer,Ale,3,9,"Brouwerij Bosteels, which also produces the popular Tripel Karmeliet and the DeuS Brut des Flandres.",Buggenhout,Belgium,8.4,18.0,,,,"Cheese, Steak, Chocolate",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Pauwel Kwak
313,100314,St. Bernardus Prior 8 Abby Ale,7794,4.0,Beer,Ale,3,21,"St.Bernardus Prior 8 is a traditional abbey ale brewed in the classic ""Dubbel"" style of Belgium's Best Abbey Ales. It has a ruby to purple color, smooth, creamy richness of texture that is almost oily, and a malt-fruit complexity reminiscent of coconut. (8% alc. vol.)  It finds the perfect balance between sweet, bitter and malty tastes. One of the original recipes from the days of license-brewing for the Trappist monks of Westvleteren (see history)",Watou,Belgium,8.0,22.0,,,,"Beef, Lamb, Chocolate",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Dubbel,St. Bernardus
354,100355,Rochefort 8,7039,4.9,Beer,Ale,3,9,"The lower gravity cousin to Rochefort 10. Nicknamed ""Spéciale"" (’The Special’), this beer is the most recent production. The Rochefort 8 has a more tawny colour and a more pronounced aroma, with an even richer fruitiness (a slight undertone of fig?) and a little more spiced dryness, like that of a cake, which gives a balanced finish to the final notes.",Rochefort,Belgium,9.2,22.0,,,,"Beef, Lamb, Dark Chocolate",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Rochefort
355,100356,Rochefort Trappist 8,7039,4.818999999999994,Beer,Ale,3,9,"The Rochefort 8 is a beer to be savoured at your leisure. Not too dense, it goes down easily, quietly sparkling. The alcohol in the finish never lets you forget that this is an authentic degustation beer, one that cannot be hurried along. It is sweet and chocolatey, pleasant but certainly never boring. The same can be said of the alcohol content – it makes itself known, but it never overpowers, leaving plenty of room for all the rich subtlety to be found in a glass of the 8.",Rochefort,Belgium,9.2,24.0,,,,"Beef, Lamb, Chocolate",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Rochefort
363,100364,Corsendonk Christmas Ale,2403,4.818000000000002,Beer,Ale,3,9,"First brewed in 1998, this Christmas release by Brouwerij Corsendonk (Oud, Belgium) was hit almost immediately.  Christmas Ale has received a world class rating on BeerAdvocate.com, and is highly anticipated as soon as the weather turns cold.  This dark Belgian ale is one of 5 offerings by Corsendonk, and is bottle conditioned.    Its aroma of chocolate malt and spices is reminiscent of the wonderful smells of holiday baking in Mom’s kitchen. On the palate this silky smooth ale is predominantly malty, with smoky, spicy and citrusy notes, and a long, lingering finish that is lightly tart and malty. Round and well-balanced, it will be a welcome addition to holiday tables and parties.    Style: Belgian Strong Dark Ale    Taste Expectations: Big malty taste, with dark fruit notes (figs, grapes, raisins) from the malts/yeast. Spicy – w/ coriander notes.  Some chocolate flavor.    Food Pairings: This ale pairs well with holiday meals. Duck/Goose/Ham/Turkey.  Candied/sugar glazes pair nicely also.",Oud-Turnhout,Belgium,8.5,30.0,,,,"Roast duck, Stilton cheese, Dark chocolate",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Corsendonk
368,100369,Wexford Irish Style Creme Ale,3834,4.706033333333327,Beer,Ale,10,0,"This authentic Irish Ale dates back to 1810 from Co. Wexford. Brewed to an original family recipe using Irish malt and hops, Wexford has a smooth mellow creaminess we believe you will enjoy.",Bury St Edmunds,United Kingdom,5.0,15.0,,,,"Fish and chips, Shepherd's pie, Irish soda bread",Pint Glass,45-50° F,7.2-10.0° C,,,Cream Ale,,Greene King
370,100371,Piraat Belgian Ale,6520,4.5,Beer,Ale,3,9,"Fruity, spicy, complex aroma and flavor. A sweet palate is followed by low hop bitterness, evident coriander-like spiciness and a titillating alcoholic blast reminiscent of Flemish fantasies.",Ertvelde,Belgium,10.8,32.0,,,,"Spicy Thai curry, Grilled steak, Dark chocolate.",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Piraat
391,100392,Maredsous 8 Dark Brune,5417,4.5315,Beer,Ale,3,21,"The brown beer was originally only brewed for Christmas, but over the centuries it became a force to reckon with.

Maredsous Brune has a creamy foaming, dark, burgundy color, is easily recognized by its expressive aroma bouquet. A generous caramel bouquet is completed with masterly fruit touches.",Denee,Belgium,8.0,24.0,,,,"Beef, Lamb, Chocolate desserts",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,Craft,,Belgian-Style Ale,Dubbel,Maredsous
395,100396,Westmalle Dubbel Trappist Gift Pack,9015,4.788999999999998,Beer,Ale,3,0,This gift pack includes two Westmalle Trappist brews and a branded glass.,Malle,Belgium,7.0,24.0,,,,"Beef, Pork, Cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,,Westmalle
411,100412,Au Baron Saison Saint,1398,4.712999999999997,Beer,Ale,3,53,"The Saison Saint Médard Ambrée beer is brewed according to traditional methods with the most famous malts and hops. Unfiltered, refermented in the bottle, this beer must be served chilled (6-8 ° C) and poured with care. This beer is to be drunk with its Saison St Médard glass.",Gussignies,France,7.0,20.0,,,,"Seafood, Grilled Chicken, Salad",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,Belgian-Style Ale,Saison / Farmhouse Ale,Brasserie Au Baron
412,100413,N'Ice Chouffe,1403,4.737000000000001,Beer,Ale,3,9,"A solid winter warmer, this
complex ale offers abundant
notes of spice, fruit and dark
berries, complemented by malty
overtones. Brewed with thyme,
Curaçao orange peel and dark
candy sugar, N’ice CHOUFFE
is the perfect beer to see you
through long winter nights",Achouffe,Belgium,10.0,35.0,,,,"Spicy Thai curry, Roquefort cheese, Dark chocolate.",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,Belgian-Style Ale,Belgian Strong Ale,Brasserie D'achouffe
435,100436,Gulden Draak 9000 Quad Ale,3894,4.3,Beer,Ale,3,49,"Gulden Draak, lonely at the top for 25 years, now gets company  The birthday present: Gulden Draak 9000 Quadruple, an enrichment of the Gulden Draak range.  An ode to the past and to the city of (9000) GHENT The Gulden Draak is named after the gilded statue on top of the belltower of Ghent. Such eminent symbol, that has been standing firm for over 6 centuries, deserves equally grand beers. The unsurpassed Gulden Draak as dark tripel of 10,5% alcohol gets, after 25 years of growing success, quite an addition, the Gulden Draak 9000 Quadruple.",Ghent,Belgium,10.7,31.0,,,,"Chocolate, Roasted Duck, Blue Cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Quadrupel,Gulden Draak
437,100438,Mully's Galaxy Queen Blonde Ale,5797,4.813999999999999,Beer,Ale,13,0,"DDH Blonde, brewed with flaked oats and wheat.",County Kilkenny,Ireland,6.5,25.0,,,,"Spicy chicken wings, Grilled shrimp, Gouda cheese",Pint Glass,45-50° F,7.2-10.0° C,,,Golden / Blonde Ale,,Mully's Brewery
449,100450,Seven Island Citraspace Invader Double IPA,7363,4.077,Beer,Ale,15,32,Imperial Ipa brewed with citra hop pellets and Cryo hops.,Athens,Greece,8.0,70.0,,,,"Spicy Thai curry, Grilled shrimp, Blue cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,IPA,Imperial / Double IPA,Seven Island Brewery
460,100461,St Bernardus Tripel Ale,7795,4.598999999999999,Beer,Ale,3,58,"St. Bernardus Tripel is a traditional abbey beer that follows the classic tripel style. In the Watou region a tripel is often referred to as a ‘Bernadetje’. A fine tribute that pays homage to Bernadette, the youngest daughter of Evariste Deconinck, the man to whom the monks of Abbaye Sainte Marie du Mont des Cats sold their Belgian property in 1934.",Watou,Belgium,8.0,25.0,,,,"Spicy Thai curry, Roasted chicken, Belgian waffles","Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Tripel,St. Bernardus Brewery
464,100465,Brasserie Dubuisson Scaldis Prestige Belgian Strong Ale,1413,4.747000000000001,Beer,Ale,3,9,"Flavor or Aromatic Profile: Banana Cream, Golden Raisin, Toasted Caramel, Nougat

Pairings: Lentils, Grilled Halibut, Wild Mushrooms, Pineapple Upside Down Cake",Pipaix,Belgium,13.0,35.0,,,,"Cheese, Steak, Dark Chocolate",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Belgian Strong Ale,Brasserie Dubuisson
465,100466,Scaldis Prestige Cuvee,1414,4.709000000000002,Beer,Ale,3,9,"The Scaldis Prestige is a Scaldis Caractère that, rather than maturing in stainless steel tanks, has spent six months finishing in oak barrels.

During the bottling process, small amounts of sugar and yeast are added to the beer so it re-ferments in the bottle during its stay in the brewery’s warm room. This develops the natural yeast cloud and gives the beer its exceptionally high alcohol volume of 13%.

Reviving the traditional use of oak barrels has introduced aromas and tannins that haven’t been experienced in beer for many years. Even the most demanding beer lover will be bowled over by these qualities. Think of the aromas of whisky and other spirits matured on oak coupled with an extraordinarily rounded character.

The Scaldis Prestige is an exceptional beer thanks to its rounded taste, its rich aromas, the exclusive bottle and the limited distribution.",Pipaix,Belgium,13.0,25.0,,,,"Steak, Dark Chocolate, Blue Cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,Belgian-Style Ale,Belgian Strong Ale,Brasserie Dubuisson Frères sprl
467,100468,Delirium Nocturnum,1690,4.6,Beer,Ale,3,9,"Acclaimed by dark beer lovers worldwide, Delirium Nocturnum is dark brown-red in color with a compact white-yellow, stable and lacing head. Aromas of caramel, mocha, and chocolate are prominent and foreshadow the drinking experience to come. Nocturnum has an initial alcohol-laden soft mouthfeel, followed by an increasing bitterness, partially from the hops but also from the roasted and chocolate malt. Bold chocolate, mocha, and roasted malt create a backdrop for the subtler licorice and coriander flavors. A delicious balance between bitterness and sweetness is struck at the finish, lingering and inviting you back for another sip!",Melle,Belgium,8.5,24.0,,,"Strong, Dark Fruit, Pruny, Fig","Steak, Dark Chocolate, Blue Cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Brouwerij Huyghe
468,100469,Delirium Tremens,1690,4.8,Beer,Ale,3,9,"Applauded across the globe as one of the best beers in the world, Delirium Tremens Beer pours clear and golden with a voluminous white head. Boasting sweet and fruity banana, citrus, and clove notes. With reviews that range from luscious and malty to smooth and spicy, we suggest you try this complex “world’s best beer” for yourself. Its ceramic motif painted bottle and blue label (sporting a pink elephant) make it distinctly recognizable.",Melle,Belgium,8.5,32.0,,,"Sweet, Honey, Strong, Balanced","Mussels, Charcuterie, Spicy Thai cuisine",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Brouwerij Huyghe
469,100470,Delirium Noel Gift Pack with Glass,1690,4.793000000000004,Beer,Ale,3,0,"Brewed specifically for the Holiday season and is released once a year. Delirium Noel is fun and festive; the iconic Delirium ceramic motif bottle gets an artistic tweak-three unique labels depicting Delirium's Pink Elephant in fun wintery scenes. This particular package is designed for holiday gift-giving! A combination of two 750ml bottles of Noel and a festive 33cl tulip glass to properly enjoy the beer. The finely crafted Belgian Ale within the bottles is well worth the wait. A more substantial ABV% combines with familiar holiday flavors of cinnamon, clove, allspice, and stonefruit. The liquid pours to reveal a chestnut amber hue protected by a fine white creamy head of foam. Noel's precise hop bill provides bitterness to balance big roasted malt flavors. Noel is a great addition to any Holiday celebration and makes a beautiful gift for any occasion the winter months throw your way.",Melle,Belgium,10.0,26.0,,,"Caramel, Cinnamon, Malty, Hoppy","Roasted duck, Dark chocolate, Spiced nuts",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,Craft,,Belgian-Style Ale,,Brouwerij Huyghe
486,100487,Rochefort Trappist 10,7039,4.718999999999999,Beer,Ale,3,49,"Dominant impressions of latte coffee with powerful chocolate aromas in the nose. The alcohol esters are enveloped with hints of autumn wood, citrus zest (orange, lemon) and freshly baked biscuits. The initial taste is sweetly sinful. Beer and chocolate trapped into one single glass, a liquid milky draught with a backbone of bitter malt. The alcohol warms the throat and, in the finish, you will pick up traces of cloves, citrus, orange and mocha. The heaviest of the Rochefort beers, the 10 is a quadrupel style beer and can be recognized by its blue label.",Rochefort,Belgium,11.0,26.0,,,,"Beef, Dark Chocolate, Stilton Cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,Craft,,Belgian-Style Ale,Quadrupel,Rochefort
492,100493,Brasserie Dupont Avec Les Bons Vœux,1416,4.766999999999998,Beer,Ale,3,53,"Les Bons Vœux means ""best wishes"", which is what Brasserie Dupont sends with this very special saison ale brewed for the holidays. Redolently aromatic, rich and velvety. Rich gold color, fragrant (lemony with hints of pepper, banana and clove), as all the beers of Dupont are with a full, deep malt richness that lingers on your tongue for what seems the whole holiday season. Considered by some the finest offering from this unparalleled Brewery. “The best Belgian beer, if ever there could be such an award...a sumptuous, seductive 9.5% beer. Because of it’s intensity, I would recommend the novice graduate to this beer. However, if a saison that is starting to lean towards being a triple appeals to you, and if its in season, don’t hesitate.”",Tourpes,Belgium,9.5,35.0,,,,"Seafood, Poultry, Spicy dishes",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Saison / Farmhouse Ale,Brasserie Dupont
495,100496,Dupont Avec les Bons Voeux,2867,4.866000000000002,Beer,Ale,3,0,"Les Bons Vœux means ""best wishes"", which is what Brasserie Dupont sends with this very special saison ale brewed for the holidays. Redolently aromatic, rich and velvety. 

Rich gold color, fragrant (lemony with hints of pepper, banana and clove), as all the beers of Dupont are with a full, deep malt richness that lingers on your tongue for what seems the whole holiday season. Considered by some the finest offering from this unparalleled Brewery. “The best Belgian beer, if ever there could be such an award...a sumptuous, seductive 9.5% beer. Because of it’s intensity, I would recommend the novice graduate to this beer. However, if a saison that is starting to lean towards being a triple appeals to you, and if its in season, don’t hesitate.”",Tourpes,Belgium,9.5,35.0,,,,"Cheese, Charcuterie, Roast Chicken",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,,Dupont
507,100508,St. Bernardus Christmas Ale,7794,5.0,Beer,Ale,3,49,"St.Bernardus Christmas Ale is a dark seasonal brewed in the classic 'Quadrupel' style of Belgium's best Abbey Ales. (10,0 % ABV) Similar to all the beers from our brewery, it greets the drinker with the signature aroma of the St.Bernardus house yeast strain (in use since 1946!) Rivaling the complexity of the St.Bernardus Abt 12, St.Bernardus Christmas Ale offers a spicy, mint-like flavor profile exuding the tastes of warming alcohol, fermented molasses, apricots, licorice and marzipan that are highligted by the perfect balance of brewing sugars.",Watou,Belgium,10.0,20.0,,,,"Roast duck, Dark chocolate, Spiced nuts","Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",50-55° F,10.0-12.8° C,"Craft, Seasonal",,Belgian-Style Ale,Quadrupel,St. Bernardus
512,100513,Westmalle Dubbel,9015,4.4,Beer,Ale,3,21,"Westmalle Dubbel is a dark, reddish-brown Trappist beer with a secondary fermentation in the bottle. The creamy head has the fragrance of special malt and leaves an attractive lace pattern in the glass. The flavour is rich and complex, herby and fruity with a fresh-bitter finish. It is a balanced quality beer with a soft feel in the mouth and a long, dry aftertaste. The Dubbel contains 7% alcohol.",Malle,Belgium,7.0,24.0,,,"Malty, Dark Fruit, Caramel, Pruny","Beef, Pork, Cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Dubbel,Westmalle
513,100514,Westmalle Trappist Dubbel,9015,4.575999999999996,Beer,Ale,3,21,"A reddish brown trappist ale, malty and fruit, featuring a 3 week secondary fermentation. This ale has a full, pale yellow head. The bouquet is full of esters and fruitiness. Notes of ripe banana predominate. The taste is fruity and slightly bitter, with a long, dry finish.",Westmalle,Belgium,7.0,24.0,,,,"Beef, Pork, Cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Dubbel,Westmalle
534,100535,De Dolle Brouwers Boskeun,1673,4.734000000000002,Beer,Ale,3,9,"Boskeun is the nickname of Jo, one of the two brothers who preferred to brew blond beer at home. It is a special Easter beer, one of the first real Belgian Easter beers. (Slaghmuylder's paasbier being first). It has been brewed with pale malt, Golding hops, cane sugar and refermented in the bottle. It's a seasonal beer, so we suggest not to keep it eternally. The name Boskeun means rabbit of the wood (virgin wood, maybe?) and the label shows it, sampling the last brew.",Esen,Belgium,10.0,35.0,,,,"Pork, Lamb, Cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,Belgian-Style Ale,Belgian Strong Ale,Brouwerij De Dolle Brouwers
